58	0	92.96	1448	1517	1e-22	 102	55	21361	21431	29799	71
2337	0	85.00	22169	22442	2e-76	 278	150	930	1205	3852	280
2490	0	89.80	6589	6541	6e-12	63.9	34	920	968	3061	49
4039	0	92.61	1274	1503	8e-92	 329	178	4664	4892	4892	230
5356	0	76.55	12636	13093	6e-64	 235	127	93	549	1608	469
5447	0	92.32	3416	2729	0.0	 977	529	1	689	689	690
9161	0	86.50	18906	20834	0.0	2097	1135	10	1941	1943	1963
9438	0	99.94	18897	20559	0.0	3068	1661	1	1663	1663	1663
9491	0	96.25	4239	2749	0.0	2451	1327	1	1492	1492	1493
11183	0	82.48	17097	16481	2e-161	 558	302	1	618	1098	628
11899	0	88.87	9438	16464	0.0	8599	4656	4520	11518	15816	7077
11928	0	99.56	5407	8106	0.0	4942	2676	1	2700	2700	2700
12264	0	91.84	6589	6541	3e-13	69.4	37	1651	1699	6741	49
12903	0	91.06	1457	1579	6e-43	 165	89	690	811	1358	123
13017	0	90.99	18884	18992	9e-38	 148	80	1	111	1807	111
13687	0	86.05	17778	18189	1e-124	 435	235	1	412	412	423
14245	0	99.33	22016	21868	1e-74	 270	146	192	340	1002	149
14253	0	98.51	22689	22623	3e-29	 119	64	187	253	878	67
14548	0	99.06	24095	23031	0.0	1917	1038	1	1065	1065	1066
14849	0	99.07	22987	22774	3e-109	 385	208	1	213	895	214
15406	0	83.74	6758	6562	8e-48	 183	99	1626	1824	6173	203
16443	0	90.00	14416	14465	7e-13	65.8	35	138	187	1342	50
19909	0	99.88	16463	8061	0.0	1.548e+04	8382	729	9133	9133	8405
20971	0	84.03	1227	143	0.0	1033	559	876	1964	9509	1102
21221	0	99.81	29685	31259	0.0	2892	1566	903	2477	2988	1575
22042	0	88.15	1298	1622	7e-110	 387	209	400	725	764	329
22573	0	95.30	28015	25707	0.0	3657	1980	1	2306	2306	2321
24259	0	91.53	28200	28089	1e-40	 156	84	1	117	512	118
24347	0	91.07	15387	15934	0.0	 737	399	1354	1897	1897	549
26179	0	100.00	18832	18859	2e-09	52.8	28	414	441	509	28
26406	0	99.79	29787	28327	0.0	2682	1452	31	1491	1491	1462
38951	0	100.00	24118	25280	0.0	2148	1163	1	1163	1163	1163
39345	0	99.86	22001	21312	0.0	1267	686	1	689	689	690
40186	0	80.57	23810	24150	8e-70	 255	138	2247	2589	3051	350
41047	0	72.47	6291	4427	3e-139	 488	264	6747	8620	11293	1943
41273	0	95.51	18896	18476	0.0	 699	378	1	422	422	423
41452	0	99.27	26871	25373	0.0	2712	1468	1	1497	1532	1499
42146	0	87.43	18748	18411	7e-112	 392	212	1	338	338	342
42562	0	98.72	22693	22770	2e-35	 139	75	1	78	582	78
44443	0	99.10	16460	18134	0.0	3029	1640	998	2672	2672	1675
ckmer87_21070	0	84.50	1300	1621	6e-88	 316	171	3371	3696	5155	329
ckmer87_29057	0	89.47	6323	5850	1e-174	 601	325	4	477	480	475
ckmer87_29351	0	94.68	1465	1558	5e-37	 145	78	1	92	798	94
ckmer87_29981	0	89.66	17331	17684	4e-129	 449	243	1	354	354	358
ckmer87_31255	0	87.96	28219	27922	2e-99	 351	190	1	298	691	299
ckmer87_33936	0	92.14	17687	17966	1e-113	 398	215	1	280	280	280
ckmer83_7601	0	100.00	143	497	0.0	 656	355	418	772	772	355
ckmer83_14275	0	95.69	22747	22632	2e-49	 187	101	1782	1897	1897	116
ckmer83_19920	0	91.81	20724	20892	4e-65	 237	128	125	293	390	171
ckmer83_20427	0	88.05	5345	4203	0.0	1336	723	1	1132	1132	1155
ckmer83_22031	0	99.61	21064	21317	3e-134	 466	252	1	254	254	254
ckmer79_10727	0	86.09	2846	1638	0.0	1284	695	2	1221	4530	1244
ckmer79_18555	0	95.40	1559	1473	8e-35	 137	74	645	730	730	87
ckmer79_23433	0	90.04	15375	15894	0.0	 675	365	1234	1747	1747	522
ckmer75_10117	0	97.22	1458	1529	5e-29	 121	65	4690	4760	4760	72
ckmer75_10388	0	85.34	1388	1274	1e-28	 119	64	487	601	2777	116
ckmer75_14688	0	88.77	8833	8374	7e-163	 562	304	1	460	462	463
ckmer75_14923	0	90.13	1615	1304	2e-113	 401	217	2473	2781	6858	314
ckmer75_21434	0	86.36	11046	11380	1e-104	 368	199	1	351	351	352
ckmer67_15186	0	89.31	22499	22107	2e-142	 494	267	1	393	393	393
ckmer67_29249	0	86.94	8082	7253	0.0	 931	504	1	844	844	850
ckmer63_8857	0	97.22	1230	1265	2e-12	62.1	33	114	149	272	36
