kmer83_1361092	0	88.37	17212	17423	2e-70	 254	137	8	219	219	215
kmer83_1392444	0	83.06	17051	17287	2e-56	 207	112	2	235	235	242
kmer83_1455802	0	91.09	15881	16136	4e-98	 346	187	1	256	256	258
kmer83_1526884	0	80.68	22095	22389	2e-56	 207	112	1	271	271	295
kmer83_1665161	0	90.16	5297	5598	6e-112	 392	212	3	305	307	305
kmer83_2015669	0	100.00	1290	612	0.0	1254	679	1	679	679	679
kmer87_1065220	0	100.00	22173	22259	1e-42	 161	87	115	201	201	87
kmer87_1078168	0	98.68	21081	21006	7e-35	 135	73	130	205	206	76
kmer87_1122346	0	89.96	18866	19091	2e-81	 291	157	1	226	226	229
kmer87_1145104	0	93.22	25316	25202	3e-44	 167	90	1	114	238	118
kmer87_1158348	0	87.50	25373	25551	7e-56	 206	111	65	245	245	184
kmer87_1159146	0	100.00	21071	21039	2e-12	62.1	33	214	246	246	33
kmer87_1170698	0	93.36	17358	17610	2e-106	 374	202	1	253	253	256
kmer87_1180000	0	100.00	22800	22769	6e-12	60.2	32	1	32	259	32
kmer87_1238136	0	97.77	20893	21071	5e-87	 309	167	44	222	273	179
kmer87_1254396	0	100.00	21983	22259	4e-148	 512	277	1	277	277	277
kmer87_1262390	0	100.00	22689	22603	2e-42	 161	87	193	279	279	87
kmer87_1263666	0	92.86	21726	21644	3e-30	 121	65	1	83	279	84
kmer87_1358304	0	90.80	23279	23031	4e-94	 333	180	1	249	305	250
kmer87_1358786	0	100.00	20844	20540	1e-163	 564	305	1	305	305	305
kmer87_1380770	0	97.62	29663	29787	1e-58	 215	116	1	125	312	126
kmer87_1387140	0	93.04	25619	25932	6e-132	 459	248	1	314	314	316
kmer87_1444974	0	92.88	5407	5741	3e-140	 486	263	1	335	335	337
kmer87_1474308	0	94.12	21649	21732	2e-32	 128	69	264	348	348	85
kmer87_1511222	0	100.00	22194	22280	2e-42	 161	87	1	87	371	87
kmer87_1665638	0	100.00	29761	29720	4e-17	78.7	42	1	42	559	42
kmer87_1798656	0	100.00	1383	2749	0.0	2525	1367	1	1367	1367	1367
G3QRPMK01BD0HH	0	99.55	22217	22437	7e-115	 401	217	1	220	220	221
G3QRPMK01DA652	0	96.43	22286	22617	2e-157	 544	294	1	328	328	336
G3QRPMK01D7EPI	0	82.03	22191	22442	2e-57	 211	114	1	252	370	256
G3QRPMK01EA2G2	0	100.00	22582	22219	0.0	 673	364	1	364	364	364
G3QRPMK01BFVJR	0	100.00	22009	21687	1e-173	 597	323	1	323	323	323
